x,y,latitude,longitude
504860.9844,198166.3594	 , '34.34672S', '19.05220E'
503604.3438,199384.6797	 , '34.33575S', '19.03854E'
526696.7813,171469.1563	 , '34.58705S', '19.29036E'
525721.5,172985.4727	 , '34.57341S', '19.27968E'
524746.2109,174513.5508	 , '34.55966S', '19.26901E'
523763.5469,176064.8555	 , '34.54570S', '19.25826E'
522773.6563,177644.7266	 , '34.53148S', '19.24743E'
521690.3984,179356.3789	 , '34.51607S', '19.23559E'
520439.5234,181220.2188	 , '34.49930S', '19.22192E'
519040.5313,183128.8906	 , '34.48212S', '19.20665E'
517515.4766,185034.2813	 , '34.46497S', '19.19001E'
515902.6563,186897.9844	 , '34.44819S', '19.17242E'
514241.6641,188698.25	 , '34.43199S', '19.15431E'
512547.5469,190437.7969	 , '34.41633S', '19.13586E'
510845.875,192107.1445	 , '34.40130S', '19.11733E'
509179.8359,193687.4727	 , '34.38707S', '19.09919E'
507568.0781,195184.168	 , '34.37359S', '19.08165E'
506021.1094,196598.1914	 , '34.36085S', '19.06482E'
504606.0313,197895.8281	 , '34.34916S', '19.04943E'
503333.2578,199140.3086	 , '34.33795S', '19.03560E'
502259.5469,200260.918	 , '34.32785S', '19.02392E'
525965.2656,171004.0039	 , '34.59127S', '19.28240E'
525007.8516,172535.7617	 , '34.57748S', '19.27192E'
524051.2188,174078.8828	 , '34.56359S', '19.26145E'
523087.4609,175645.3984	 , '34.54949S', '19.25091E'
522115.2734,177241.6797	 , '34.53513S', '19.24027E'
521059.1094,178959.2617	 , '34.51967S', '19.22872E'
519850.5469,180818.4883	 , '34.50293S', '19.21552E'
518500.9531,182726.3711	 , '34.48576S', '19.20078E'
517027.0391,184637.7148	 , '34.46855S', '19.18470E'
515462.5938,186513.918	 , '34.45166S', '19.16764E'
513844.7969,188331.4141	 , '34.43530S', '19.15000E'
512189.8281,190090.0273	 , '34.41947S', '19.13197E'
510522.6484,191779.5625	 , '34.40426S', '19.11382E'
508885.5469,193380.5977	 , '34.38984S', '19.09599E'
507298.4844,194898.1719	 , '34.37617S', '19.07872E'
505774.7344,196334.0664	 , '34.36324S', '19.06215E'
504378.2891,197659	 , '34.35130S', '19.04696E'
503117.7813,198930.6016	 , '34.33984S', '19.03325E'
502054.0703,200098.6836	 , '34.32931S', '19.02169E'
525245.9219,170559.1875	 , '34.59529S', '19.27457E'
524305.5234,172105.6094	 , '34.58138S', '19.26428E'
523366.7188,173662.9414	 , '34.56736S', '19.25400E'
522421.1641,175243.6953	 , '34.55313S', '19.24366E'
521466.3047,176855.125	 , '34.53862S', '19.23321E'
520435.7891,178578.2891	 , '34.52311S', '19.22195E'
519266.6641,180433.25	 , '34.50641S', '19.20917E'
517963.6875,182339.832	 , '34.48925S', '19.19494E'
516538.8828,184255.8594	 , '34.47200S', '19.17939E'
515021.75,186142.9883	 , '34.45501S', '19.16285E'
513446.8828,187976.2734	 , '34.43851S', '19.14568E'
511831.2266,189752.8828	 , '34.42251S', '19.12808E'
510199.1016,191461.832	 , '34.40712S', '19.11030E'
508591.6953,193083.2031	 , '34.39252S', '19.09280E'
507029.9063,194621.5469	 , '34.37867S', '19.07581E'
505529.2188,196078.9844	 , '34.36554S', '19.05948E'
504150.6406,197429.832	 , '34.35337S', '19.04449E'
502901.7109,198727.9141	 , '34.34167S', '19.03091E'
501844.6094,199937.1289	 , '34.33077S', '19.01942E'
524539.5234,170133.918	 , '34.59914S', '19.26688E'
523615.2891,171694.2383	 , '34.58510S', '19.25677E'
522693.4297,173264.9922	 , '34.57096S', '19.24668E'
521765.3125,174859.0664	 , '34.55661S', '19.23652E'
520827.3125,176484.4609	 , '34.54198S', '19.22626E'
519821.0469,178212.8906	 , '34.52642S', '19.21526E'
518688.6563,180063.9648	 , '34.50975S', '19.20288E'
517429.5859,181968.8516	 , '34.49260S', '19.18913E'
516051.7891,183888.4336	 , '34.47532S', '19.17410E'
514580.7188,185785.0234	 , '34.45825S', '19.15805E'
513048.2969,187632.6875	 , '34.44161S', '19.14135E'
511471.8984,189426.1797	 , '34.42546S', '19.12417E'
509875.1797,191153.6953	 , '34.40991S', '19.10678E'
508298.0781,192794.9063	 , '34.39512S', '19.08961E'
506762.0781,194353.7461	 , '34.38108S', '19.07290E'
505284.4297,195832.3086	 , '34.36776S', '19.05682E'
503923.2969,197207.9297	 , '34.35537S', '19.04202E'
502685.6406,198531.7344	 , '34.34344S', '19.02856E'
501633.6484,199777.207	 , '34.33221S', '19.01712E'
523860.1406,169735.0664	 , '34.60275S', '19.25949E'
522950.8359,171308.1875	 , '34.58859S', '19.24953E'
522044.4766,172891.207	 , '34.57434S', '19.23961E'
521132.2969,174497.2695	 , '34.55989S', '19.22963E'
520209.7891,176135.0039	 , '34.54514S', '19.21954E'
519225.3984,177867.9648	 , '34.52954S', '19.20878E'
518125.9844,179715.168	 , '34.51291S', '19.19676E'
516906.8828,181617.6445	 , '34.49578S', '19.18345E'
515572.6406,183539.3086	 , '34.47848S', '19.16889E'
514145.0625,185443.4883	 , '34.46133S', '19.15332E'
512653.4688,187303.6836	 , '34.44458S', '19.13706E'
511115.3906,189112.5508	 , '34.42829S', '19.12030E'
509553.7734,190857.4922	 , '34.41258S', '19.10329E'
508007.1719,192517.8203	 , '34.39762S', '19.08645E'
506497.3125,194096.707	 , '34.38340S', '19.07002E'
505042.7266,195595.8672	 , '34.36990S', '19.05419E'
503698.8203,196995.1641	 , '34.35729S', '19.03958E'
502472.2969,198343.6758	 , '34.34513S', '19.02624E'
501424.8438,199621.6602	 , '34.33361S', '19.01486E'
523208.0625,169361.2656	 , '34.60614S', '19.25239E'
522312.4609,170946.0703	 , '34.59187S', '19.24258E'
521420.1641,172540.1797	 , '34.57752S', '19.23282E'
520522.3516,174156.8984	 , '34.56297S', '19.22299E'
519613.8203,175805.375	 , '34.54812S', '19.21306E'
518648.8594,177542.0625	 , '34.53249S', '19.20251E'
517578.6953,179385.3008	 , '34.51589S', '19.19081E'
516395.5859,181284.6563	 , '34.49879S', '19.17789E'
515101.2813,183206.9844	 , '34.48148S', '19.16376E'
513714.3594,185116.9102	 , '34.46428S', '19.14863E'
512261.6328,186987.7656	 , '34.44743S', '19.13280E'
510760.6172,188810.4336	 , '34.43102S', '19.11644E'
509233.5313,190571.5742	 , '34.41516S', '19.09981E'
507717.4375,192250.2148	 , '34.40004S', '19.08330E'
506234.0703,193848.6875	 , '34.38564S', '19.06716E'
504802.8438,195368.0703	 , '34.37195S', '19.05159E'
503476.3906,196790.3359	 , '34.35913S', '19.03716E'
502261.2656,198162.8281	 , '34.34676S', '19.02395E'
501218.1094,199471.2422	 , '34.33497S', '19.01261E'
522562.5625,168999.3555	 , '34.60942S', '19.24536E'
521680.0469,170595.2891	 , '34.59505S', '19.23570E'
520801.2656,172199.9297	 , '34.58060S', '19.22608E'
519917.3359,173826.6953	 , '34.56596S', '19.21641E'
519022.4531,175485.1641	 , '34.55102S', '19.20662E'
518076.0391,177225.4453	 , '34.53535S', '19.19627E'
517033.3828,179065.1406	 , '34.51879S', '19.18488E'
515884.3516,180961.3594	 , '34.50171S', '19.17233E'
514628.2969,182883.7969	 , '34.48440S', '19.15862E'
513280.8203,184798.543	 , '34.46716S', '19.14392E'
511866.25,186679.0117	 , '34.45022S', '19.12850E'
510401.8906,188514.5156	 , '34.43369S', '19.11254E'
508909.2734,190291.0039	 , '34.41769S', '19.09628E'
507423.9531,191987.332	 , '34.40241S', '19.08011E'
505967.5625,193605.0078	 , '34.38784S', '19.06426E'
504560.2109,195144.3828	 , '34.37397S', '19.04895E'
503251.7813,196589.3164	 , '34.36095S', '19.03472E'
502048.6563,197985.5078	 , '34.34836S', '19.02164E'
501008.9531,199324.3477	 , '34.33630S', '19.01034E'
521917.2109,168645.1523	 , '34.61262S', '19.23834E'
521047.3906,170251.8789	 , '34.59816S', '19.22881E'
520181.8438,171866.7422	 , '34.58362S', '19.21934E'
519311.6563,173503.2305	 , '34.56888S', '19.20982E'
518430.5078,175171.25	 , '34.55386S', '19.20018E'
517502.3125,176915.2422	 , '34.53816S', '19.19003E'
516486.1406,178752.0195	 , '34.52162S', '19.17892E'
515370.0078,180645.3672	 , '34.50457S', '19.16673E'
514151.1875,182567.7266	 , '34.48725S', '19.15343E'
512842.5078,184486.7539	 , '34.46997S', '19.13916E'
511465.8359,186376.1289	 , '34.45296S', '19.12415E'
510038.0703,188223.7773	 , '34.43632S', '19.10859E'
508580.0547,190014.9492	 , '34.42018S', '19.09271E'
507125.8516,191728.4219	 , '34.40475S', '19.07687E'
505696.9297,193364.9219	 , '34.39000S', '19.06132E'
504313.9688,194924.0391	 , '34.37595S', '19.04627E'
503024.1953,196391.375	 , '34.36273S', '19.03225E'
501833.7422,197810.9414	 , '34.34994S', '19.01930E'
500795.8047,199180.9063	 , '34.33759S', '19.00802E'
521273.2969,168298.9883	 , '34.61576S', '19.23132E'
520415.7344,169916.1953	 , '34.60120S', '19.22193E'
519563.0469,171540.9766	 , '34.58657S', '19.21260E'
518706.3281,173186.8398	 , '34.57175S', '19.20323E'
517838.8281,174863.9414	 , '34.55664S', '19.19374E'
516928.3828,176611.6914	 , '34.54090S', '19.18378E'
515937.5625,178446.082	 , '34.52438S', '19.17296E'
514853.0156,180336.7617	 , '34.50736S', '19.16111E'
513670.25,182258.8008	 , '34.49005S', '19.14820E'
512399.5313,184181.5156	 , '34.47273S', '19.13434E'
511060.3203,186079.0273	 , '34.45564S', '19.11974E'
509668.9609,187938.0625	 , '34.43890S', '19.10457E'
508245.5938,189743.2188	 , '34.42263S', '19.08907E'
506822.8125,191473.2852	 , '34.40705S', '19.07358E'
505421.875,193128.2578	 , '34.39214S', '19.05833E'
504063.9141,194706.957	 , '34.37791S', '19.04356E'
502793.5938,196196.543	 , '34.36449S', '19.02974E'
501616.7109,197639.1367	 , '34.35149S', '19.01694E'
500578.8203,199040.1836	 , '34.33886S', '19.00566E'
520631.3438,167960.7695	 , '34.61882S', '19.22433E'
519785.5781,169588.1797	 , '34.60417S', '19.21507E'
518945.3438,171222.5859	 , '34.58945S', '19.20588E'
518101.7422,172877.4688	 , '34.57455S', '19.19665E'
517247.6563,174563.1836	 , '34.55936S', '19.18730E'
516354.3906,176314.6836	 , '34.54359S', '19.17754E'
515387.7422,178147.1289	 , '34.52709S', '19.16697E'
514333.3984,180035.3008	 , '34.51008S', '19.15546E'
513185.3984,181956.7578	 , '34.49278S', '19.14293E'
511951.6641,183882.543	 , '34.47543S', '19.12947E'
510649.3359,185787.3906	 , '34.45827S', '19.11527E'
509294.0781,187657.0156	 , '34.44143S', '19.10050E'
507905.3281,189475.4336	 , '34.42505S', '19.08537E'
506514.2266,191221.5469	 , '34.40932S', '19.07022E'
505141.7891,192894.6602	 , '34.39425S', '19.05529E'
503809.5234,194492.8438	 , '34.37984S', '19.04079E'
502559.6172,196004.6367	 , '34.36622S', '19.02720E'
501397.4766,197469.8594	 , '34.35301S', '19.01456E'
500358.6797,198900.1992	 , '34.34012S', '19.00327E'
519991.0391,167629.9648	 , '34.62181S', '19.21736E'
519156.6328,169267.3398	 , '34.60707S', '19.20822E'
518328.4297,170911.0898	 , '34.59227S', '19.19916E'
517497.5391,172574.6563	 , '34.57729S', '19.19007E'
516656.5703,174268.5352	 , '34.56203S', '19.18087E'
515779.8672,176023.75	 , '34.54622S', '19.17128E'
514836.1953,177854.6328	 , '34.52973S', '19.16097E'
513810.6563,179740.4258	 , '34.51275S', '19.14977E'
512696.0781,181661.0391	 , '34.49545S', '19.13760E'
511498.2656,183589.2852	 , '34.47808S', '19.12454E'
510232.1641,185500.6602	 , '34.46086S', '19.11073E'
508912.6406,187380.0664	 , '34.44393S', '19.09635E'
507558.4219,189211.0195	 , '34.42744S', '19.08160E'
506199.2188,190972.6289	 , '34.41157S', '19.06680E'
504855.7734,192663.5664	 , '34.39633S', '19.05218E'
503549.9141,194281.1641	 , '34.38175S', '19.03797E'
502321.4688,195815.168	 , '34.36793S', '19.02461E'
501175.4844,197302.5391	 , '34.35452S', '19.01215E'
500136.8438,198757.5742	 , '34.34141S', '19.00086E'
519351.2344,167305.668	 , '34.62475S', '19.21039E'
518527.8047,168952.8203	 , '34.60992S', '19.20137E'
517711.2266,170605.6563	 , '34.59503S', '19.19244E'
516892.6406,172277.5977	 , '34.57997S', '19.18348E'
516064.4688,173979.2266	 , '34.56465S', '19.17442E'
515203.7109,175738.1133	 , '34.54881S', '19.16501E'
514281.875,177567.7734	 , '34.53233S', '19.15494E'
513283.7734,179451.3047	 , '34.51536S', '19.14404E'
512201.2813,181370.8281	 , '34.49807S', '19.13222E'
511038.3203,183300.9531	 , '34.48068S', '19.11953E'
509807.7422,185218.0742	 , '34.46341S', '19.10612E'
508523.5469,187106.4688	 , '34.44640S', '19.09212E'
507203.7344,188949.2344	 , '34.42980S', '19.07774E'
505876.6094,190725.7852	 , '34.41379S', '19.06329E'
504562.6172,192434.2305	 , '34.39840S', '19.04899E'
503283.8438,194071.1758	 , '34.38365S', '19.03508E'
502077.8828,195627.3828	 , '34.36962S', '19.02196E'
500949.6172,197136.3438	 , '34.35602S', '19.00969E'
499916.1016,198608.1016	 , '34.34275S', '18.99846E'
518710.1094,166986.7617	 , '34.62764S', '19.20340E'
517897.3281,168643.5078	 , '34.61272S', '19.19451E'
517092.0078,170305.2109	 , '34.59775S', '19.18569E'
516285.3594,171985.2461	 , '34.58262S', '19.17687E'
515469.6641,173694.2578	 , '34.56723S', '19.16795E'
514624.2656,175456.7773	 , '34.55135S', '19.15870E'
513723.2109,177285.5117	 , '34.53488S', '19.14886E'
512751.2578,179166.9023	 , '34.51793S', '19.13824E'
511699.5703,181085.1289	 , '34.50065S', '19.12676E'
510570.4063,183016.5977	 , '34.48325S', '19.11444E'
509374.6484,184938.7188	 , '34.46594S', '19.10140E'
508125.375,186835.332	 , '34.44885S', '19.08779E'
506839.8281,188689.2109	 , '34.43215S', '19.07379E'
505544.9375,190480.1641	 , '34.41601S', '19.05969E'
504260.8359,192205.793	 , '34.40046S', '19.04571E'
503009.7969,193862.0156	 , '34.38553S', '19.03210E'
501827.3359,195440.4375	 , '34.37131S', '19.01924E'
500718.4531,196970.5078	 , '34.35751S', '19.00718E'
499697.3359,198452.1328	 , '34.34416S', '18.99608E'
488141.5625,219243.7422	 , '34.15666S', '18.87078E'
487891.125,219698.6563	 , '34.15255S', '18.86807E'
518065.3438,166671.9609	 , '34.63048S', '19.19638E'
517262.9453,168338.1133	 , '34.61548S', '19.18760E'
516468.5547,170008.4961	 , '34.60043S', '19.17890E'
515673.5156,171696.3945	 , '34.58523S', '19.17020E'
